TID;ALDER;KØN;INDHOLD
2023Q1;0 years;Men;30271
2023Q1;0 years;Women;28469
2023Q1;1 year;Men;33003
2023Q1;1 year;Women;31338
2023Q1;2 years;Men;31834
2023Q1;2 years;Women;30375
2023Q1;3 years;Men;32175
2023Q1;3 years;Women;30396
2023Q1;4 years;Men;32347
2023Q1;4 years;Women;30468
2023Q1;5 years;Men;32299
2023Q1;5 years;Women;30709
2023Q1;6 years;Men;32844
2023Q1;6 years;Women;30808
2023Q1;7 years;Men;31121
2023Q1;7 years;Women;29610
2023Q1;8 years;Men;30841
2023Q1;8 years;Women;29203
2023Q1;9 years;Men;30409
2023Q1;9 years;Women;29065
2023Q1;10 years;Men;31897
2023Q1;10 years;Women;29970
2023Q1;11 years;Men;32088
2023Q1;11 years;Women;31026
2023Q1;12 years;Men;34673
2023Q1;12 years;Women;32982
2023Q1;13 years;Men;34701
2023Q1;13 years;Women;32748
2023Q1;14 years;Men;35935
2023Q1;14 years;Women;33853
2023Q1;15 years;Men;35327
2023Q1;15 years;Women;33711
2023Q1;16 years;Men;35929
2023Q1;16 years;Women;34258
2023Q1;17 years;Men;35172
2023Q1;17 years;Women;33983
2023Q1;18 years;Men;35569
2023Q1;18 years;Women;34028
2023Q1;19 years;Men;35704
2023Q1;19 years;Women;34242
2023Q1;20 years;Men;36237
2023Q1;20 years;Women;34640
2023Q1;21 years;Men;37192
2023Q1;21 years;Women;36102
2023Q1;22 years;Men;38822
2023Q1;22 years;Women;37710
2023Q1;23 years;Men;38921
2023Q1;23 years;Women;37713
2023Q1;24 years;Men;39795
2023Q1;24 years;Women;38246
2023Q1;25 years;Men;40878
2023Q1;25 years;Women;39261
2023Q1;26 years;Men;41160
2023Q1;26 years;Women;39537
2023Q1;27 years;Men;42554
2023Q1;27 years;Women;40697
2023Q1;28 years;Men;42703
2023Q1;28 years;Women;41269
2023Q1;29 years;Men;41515
2023Q1;29 years;Women;39979
2023Q1;30 years;Men;42180
2023Q1;30 years;Women;40369
2023Q1;31 years;Men;40591
2023Q1;31 years;Women;39297
2023Q1;32 years;Men;40692
2023Q1;32 years;Women;39125
2023Q1;33 years;Men;39440
2023Q1;33 years;Women;38229
2023Q1;34 years;Men;38548
2023Q1;34 years;Women;36863
2023Q1;35 years;Men;36996
2023Q1;35 years;Women;35271
2023Q1;36 years;Men;36378
2023Q1;36 years;Women;35065
2023Q1;37 years;Men;35102
2023Q1;37 years;Women;34414
2023Q1;38 years;Men;33957
2023Q1;38 years;Women;33040
2023Q1;39 years;Men;32978
2023Q1;39 years;Women;32525
2023Q1;40 years;Men;33769
2023Q1;40 years;Women;32959
2023Q1;41 years;Men;33080
2023Q1;41 years;Women;33074
2023Q1;42 years;Men;34850
2023Q1;42 years;Women;34928
2023Q1;43 years;Men;35398
2023Q1;43 years;Women;35196
2023Q1;44 years;Men;36146
